[,]
Type,Tag,Time,Optimization
sol,inexact,0.00011978466838931956,[ 60 17 58 4 47 55 0 53 52 2 32 7 1 56 51 45 27 24 42 6 40 12 38 37 49 35 18 33 5 31 29 15 44 22 25 43 13 26 16 23 19 34 46 21 59 41 20 8 39 36 9 11 10 14 50 30 3 28 48 54]
base,-O3,0.0001177433247200689,None
base,no opt,0.00015451335055986217,None
base,full best measured,0.0001082687338501292,[ 21 43 18 45 7 20 8 36 34 26 55 9 50 2 57 35 3 33 42 0 22 25 11 1 58 37 24 51 52 6 38 60 53 29 31 5 19 23 17 28 44 49 41 16 27 30 40 56 14 32 46 59 12 4 48 13 15 54 47 39]
