[,]
Type,Tag,Time,Optimization
sol,inexact,0.00012193423597678918,[ 31 5 0 43 8 39 37 11 23 1 14 4 2 47 16 40 32 48 42 55 45 18 33 26 3 35 34 29 21 10 57 7 54 46 6 25 15 22 59 51 19 30 52 17 41 50 12 53 60 9 28 36 56 38 49 27 44 20 58]
base,-O3,0.00012186546314205891,None
base,no opt,0.0001472495164410058,None
base,full best measured,0.00011027724049000644,[ 43 41 6 42 33 30 2 18 56 14 0 39 45 16 19 26 40 54 38 15 21 3 5 9 34 55 10 57 32 35 8 23 28 4 20 48 49 50 7 17 22 27 51 31 1 53 60 52 12 29 44 13 24 46 37 59 47 36 11 58]
